Base de datos,Taxonomia,Material,LLRS,Nivel de Ductilidad,Pisos,IM,theta1,beta1,theta2,beta2,theta3,beta3,theta4,beta4,theta5,beta5
GEM-OpenQuake,4Storeys_BareFrame_NonSismicallyDesigned,CR,LFM,DNO,4,PGA [g],0,0,0.18,0.09,0.28,0.14,0.32,0.17,0,0
GEM-OpenQuake,4Storeys_BareFrame_SismicallyDesigned(c=10%),CR,LFM,DUC,4,PGA [g],0,0,0.3,0.16,0.43,0.21,0.51,0.25,0,0
GEM-OpenQuake,4Storeys_InfilledFrame_NonSismicallyDesigned,CR,LFINF,DNO,4,PGA [g],0,0,0.29,0.16,0.39,0.23,0.49,0.27,0,0
GEM-OpenQuake,4Storeys_InfilledFrame_SismicallyDesigned(c=10%),CR,LFINF,DUC,4,PGA [g],0,0,0.39,0.22,0.49,0.28,0.57,0.32,0,0
GEM-OpenQuake,4Storeys_InfilledFrame-SoftStorey_NonSismicallyDesigned,CR,LFINF,DNO,4,PGA [g],0,0,0.21,0.1,0.34,0.16,0.41,0.19,0,0
GEM-OpenQuake,4Storeys_InfilledFrame-SoftStorey_SismicallyDesigned(c=10%),CR,LFINF,DUC,4,PGA [g],0,0,0.31,0.15,0.42,0.22,0.48,0.24,0,0
GEM-OpenQuake,C1H - High code,CR,LFM,DUC,8-19,PGA [g],0.135,0.0961,0.27,0.1921,0.7609,0.5414,1.6568,1.1788,0,0
GEM-OpenQuake,C1H - Low code,CR,LFM,DUC,8-19,PGA [g],0.1227,0.0873,0.1841,0.131,0.3314,0.2358,0.54,0.3842,0,0
GEM-OpenQuake,C1H - Moderate code,CR,LFM,DUC,8-19,PGA [g],0.135,0.0961,0.2209,0.1572,0.5032,0.358,0.9082,0.6462,0,0
GEM-OpenQuake,C1H - Precode,CR,LFM,DUC,8-19,PGA [g],0.0982,0.0699,0.1473,0.1048,0.2577,0.1834,0.4295,0.3056,0,0
GEM-OpenQuake,C1L - High code -CR-LFM,CR,LFM,DUC,1-3,PGA [g],0.2577,0.1834,0.4295,0.3056,0.8591,0.6112,1.6814,1.1963,0,0
GEM-OpenQuake,C1L - Low code -CR-LFM,CR,LFM,DUC,1-3,PGA [g],0.1473,0.1048,0.1841,0.131,0.3314,0.2358,0.5523,0.3929,0,0
GEM-OpenQuake,C1L - Moderate code -CR-LFM,CR,LFM,DUC,1-3,PGA [g],0.1964,0.1397,0.2823,0.2008,0.5032,0.358,0.945,0.6724,0,0
GEM-OpenQuake,C1L - Precode -CR-LFM,CR,LFM,DUC,1-3,PGA [g],0.1227,0.0873,0.1473,0.1048,0.2577,0.1834,0.4418,0.3144,0,0
GEM-OpenQuake,C1M - High code,CR,LFM,DUC,4-7,PGA [g],0.1841,0.131,0.3314,0.2358,0.8959,0.6374,1.9759,1.4058,0,0
GEM-OpenQuake,C1M - Low code,CR,LFM,DUC,4-7,PGA [g],0.1473,0.1048,0.2086,0.1484,0.3927,0.2794,0.6627,0.4715,0,0
GEM-OpenQuake,C1M - Moderate code,CR,LFM,DUC,4-7,PGA [g],0.1595,0.1135,0.2577,0.1834,0.6014,0.4279,1.0923,0.7771,0,0
GEM-OpenQuake,C1M - Precode,CR,LFM,DUC,4-7,PGA [g],0.1105,0.0786,0.1595,0.1135,0.3191,0.227,0.5277,0.3755,0,0
GEM-OpenQuake,C2H - High code,CR,LWAL,DUC,8-19,PGA [g],0.1473,0.1048,0.3559,0.2532,1.0064,0.716,2.295,1.6329,0,0
GEM-OpenQuake,C2H - Low code,CR,LWAL,DUC,8-19,PGA [g],0.135,0.0961,0.2332,0.1659,0.4664,0.3318,0.7977,0.5676,0,0
GEM-OpenQuake,C2H - Moderate code,CR,LWAL,DUC,8-19,PGA [g],0.1473,0.1048,0.2823,0.2008,0.6995,0.4977,1.3132,0.9343,0,0
GEM-OpenQuake,C2H - Precode,CR,LWAL,DUC,8-19,PGA [g],0.1105,0.0786,0.1841,0.131,0.3805,0.2707,0.6382,0.4541,0,0
GEM-OpenQuake,C2L - High code -CR-LWAL,CR,LWAL,DUC,1-3,PGA [g],0.2945,0.2096,0.5523,0.3929,1.1046,0.7859,1.9023,1.3535,0,0
GEM-OpenQuake,C2L - Low code -CR-LWAL,CR,LWAL,DUC,1-3,PGA [g],0.1718,0.1222,0.2332,0.1659,0.3682,0.262,0.6382,0.4541,0,0
GEM-OpenQuake,C2L - Moderate code -CR-LWAL,CR,LWAL,DUC,1-3,PGA [g],0.2209,0.1572,0.3682,0.262,0.6014,0.4279,1.0677,0.7597,0,0
GEM-OpenQuake,C2L - Precode -CR-LWAL,CR,LWAL,DUC,1-3,PGA [g],0.135,0.0961,0.1841,0.131,0.2945,0.2096,0.5155,0.3667,0,0
GEM-OpenQuake,C2M - High code,CR,LWAL,DUC,4-7,PGA [g],0.2086,0.1484,0.4418,0.3144,1.0677,0.7597,2.3932,1.7027,0,0
GEM-OpenQuake,C2M - Low code,CR,LWAL,DUC,4-7,PGA [g],0.1473,0.1048,0.2332,0.1659,0.4664,0.3318,0.7732,0.5501,0,0
