Base de datos,Taxonomia,Material,LLRS,Nivel de Ductilidad,Pisos,IM,theta1,beta1,theta2,beta2,theta3,beta3,theta4,beta4,theta5,beta5
Martins_&_Silva,CR_LDUAL-DUH_H1,CR,LDUAL,DUH,1,PGA [g],1.26832514,0.345121451,2.068040891,0.342776172,2.584434451,0.343953136,2.971352395,0.340671236,0,0
Martins_&_Silva,CR_LDUAL-DUL_H1,CR,LDUAL,DUL,1,PGA [g],0.699703722,0.344311308,1.272355372,0.343517259,1.621048779,0.342705097,1.881386621,0.340288242,0,0
Martins_&_Silva,CR_LDUAL-DUM_H1,CR,LDUAL,DUM,1,PGA [g],0.956613857,0.330275728,1.614249388,0.332968077,2.026122092,0.333222467,2.330230114,0.331440454,0,0
Martins_&_Silva,CR_LFINF-DUH_H1,CR,LFINF,DUH,1,PGA [g],0.877413803,0.36456556,1.393203704,0.364803092,1.747145375,0.365202662,2.016915298,0.362861937,0,0
Martins_&_Silva,CR_LFINF-DUL_H1,CR,LFINF,DUL,1,PGA [g],0.417537411,0.424207609,0.74008901,0.425666526,0.950283226,0.422990018,1.109272894,0.426041432,0,0
Martins_&_Silva,CR_LFINF-DUL_H1_CCA,CR,LFINF,DUL,1,PGA [g],0.471873475,0.406628077,0.874067246,0.403328355,1.126249148,0.407214064,1.315542351,0.40897114,0,0
Martins_&_Silva,CR_LFINF-DUL_H1_SOS,CR,LFINF,DUL,1,PGA [g],0.403028386,0.442516957,0.591140496,0.437648612,0.725005099,0.442281437,0.829726299,0.439492587,0,0
Martins_&_Silva,CR_LFINF-DUM_H1,CR,LFINF,DUM,1,PGA [g],0.623759736,0.375897289,1.028249277,0.379330186,1.296305378,0.379124819,1.50119306,0.379969975,0,0
Martins_&_Silva,CR_LFM-DUH_H1,CR,LFM,DUH,1,Sa(0.3s) [g],1.397427981,0.637281186,3.086563181,0.63757162,4.641071814,0.641331344,6.050095741,0.64013647,0,0
Martins_&_Silva,CR_LFM-DUL_H1,CR,LFM,DUL,1,Sa(0.3s) [g],0.620486474,0.571458265,1.263956682,0.571393366,1.854321014,0.569306719,2.386787428,0.568718112,0,0
Martins_&_Silva,CR_LFM-DUM_H1,CR,LFM,DUM,1,Sa(0.3s) [g],1.213695453,0.622317461,2.493424931,0.620369937,3.680093684,0.623684328,4.755772638,0.62414195,0,0
Martins_&_Silva,CR_LDUAL-DUH_H2,CR,LDUAL,DUH,2,Sa(0.3s) [g],1.102034613,0.63971324,3.054841274,0.641209221,4.703330834,0.644329755,6.151144745,0.641046103,0,0
Martins_&_Silva,CR_LDUAL-DUL_H2,CR,LDUAL,DUL,2,Sa(0.3s) [g],0.454149848,0.611354163,1.38364162,0.610330752,2.134711314,0.611904849,2.77951477,0.610391263,0,0
Martins_&_Silva,CR_LDUAL-DUM_H2,CR,LDUAL,DUM,2,Sa(0.3s) [g],0.712553788,0.551878948,1.992727249,0.551112323,3.016564775,0.548139556,3.888618409,0.548252699,0,0
Martins_&_Silva,CR_LFINF-DUH_H2,CR,LFINF,DUH,2,Sa(0.3s) [g],0.861452409,0.549138484,2.544359708,0.551793176,3.956300039,0.550289536,5.177101592,0.552057651,0,0
Martins_&_Silva,CR_LFINF-DUL_H2,CR,LFINF,DUL,2,Sa(0.3s) [g],0.347325397,0.674099463,1.341510599,0.670462021,2.185241635,0.672708972,2.923503683,0.674448406,0,0
Martins_&_Silva,CR_LFINF-DUL_H2_CCA,CR,LFINF,DUL,2,Sa(0.3s) [g],0.40626194,0.665655157,1.578345316,0.664547251,2.571524843,0.665521727,3.450270407,0.66143271,0,0
Martins_&_Silva,CR_LFINF-DUL_H2_SOS,CR,LFINF,DUL,2,Sa(0.3s) [g],0.290067876,0.663819645,0.869942369,0.663061942,1.372697925,0.6621093,1.815068319,0.665147458,0,0
Martins_&_Silva,CR_LFINF-DUM_H2,CR,LFINF,DUM,2,Sa(0.3s) [g],0.514086224,0.665101397,1.84969663,0.665107896,3.012766866,0.662279473,4.044461145,0.664777162,0,0
